Load More,Xem thêm
Switch Camera,Đổi Camera
Set all public,Đặt tất cả thành công khai
Attach a web link,Đính kèm đường dẫn
Back to upload files,Quay trở lại phần tải file
Camera,Máy ảnh
Link,Đường dẫn
Library,Thư viện
My Device,Thiết bị
Drag and drop files here or upload from,Kéo thả tệp vào đây hoặc lựa chọn tải lên
Upload,Tải lên
Old Parent,Kho cha trước đây
Default In-Transit Warehouse,Kho trung chuyển mặc định
PIN,Mã bưu điện
State/Province,Tỉnh/Thành phố
City,Thành phố
Address Line 2,Địa chỉ 2
Address Line 1,Địa chỉ 1
Mobile No,Số điện thoại
Warehouse Type,Loại nhà kho
Email Address,Địa chỉ Email
Is Rejected Warehouse,Là kho trữ lỗi
Unselect All,Bỏ chọn tất cả
Select Mandatory,Chọn phần bắt buộc
Select All,Chọn tất cả
Select Fields To Insert,Chọn các trường trước khi tiến hành nhập
No records will be exported,Không xuất bất cứ bản ghi nào
{0} records will be exported,Xuất trước {0} bản ghi
No filters selected,Chưa chọn bộ lọc nào
5 Records,5 Bản ghi
Filtered Records,Xuất các bản ghi theo bộ lọc
All Records,Xuất toàn bộ bản ghi
Blank Template,Mẫu file trống
Export Type,Kiểu xuất file
File Type,Loại file
Export Data,Xuất dữ liệu
Or,Hoặc
Must be a publicly accessible Google Sheets URL,Lưu ý: Cần mở chế độ công khai cho đường dẫn file
Import from Google Sheets,Nhập từ file Google Sheets
OR,Hoặc
Attach,Đính kèm
Download Template,Tải bản nhập mẫu
Pending,Đang xử lý
Filters,Lọc
Manufacturing,Sản xuất
Account,Tài khoản
Work Order,LSX ca
Update Existing Records,Cập nhật bản ghi có sẵn (rủi ro ghi đè)
Insert New Records,Nhập bản ghi mới (an toàn)
Don't Send Emails,Không gửi Email
Import File,Nhập File
Import Type,Kiểu nhập
Document Type,Loại văn bản
Data Import,Nhập dữ liệu
Rename,Đổi tên
Delete,Xóa
Production,Đang sản xuất
Enabled,Hoạt động
Login to {0},Đăng nhập vào {0}
Login with Email Link,Đăng nhập với Email
This is a root item group and cannot be edited.,Đây là nhóm mặt hàng gốc và không thể chỉnh sửa.
No {0} found with matching filters. Clear filters to see all {0}.,Không tìm thấy {0} phù hợp với bộ lọc. Hãy xóa bộ lọc để xem tất cả {0}
values separated by commas,"các giá trị được phân cách bằng dấu phẩy (,)"
use % as wildcard,dùng % làm ký tự đại diện
Stock Projected Qty,SL tồn dự kiến
Stock Balance,Tồn kho
Stock Ledger,Sổ kho
Add / Edit Prices,Thêm / Sửa giá
Actions,Hành động
View,Xem
Redo,Redo
Undo,Undo
Remind Me,Nhắc nhở sau
Copy to Clipboard,Chép vào Clipboard
Duplicate,Sao chép
Links,Liên kết
Jump to field,Điều chuyển
Print,In
Saved,Đã lưu thay đổi
{0} updated,Đã cập nhật {0}
Sequence ID,Thứ tự
Nos,Cái
Unit,Đơn vị
Tonne,Tấn
Production Item,Mặt hàng sản xuất
Scrap Items,Phụ phẩm
Scrap & Process Loss,Phụ phẩm & hao hụt
With Operations,Thêm công đoạn sản xuất
Operations,Công đoạn
Items,Mặt hàng
Raw Materials,Nguyên liệu thô
UOM,Đơn vị
Qty,SL
Add Multiple,Thêm nhiều dòng cùng lúc
Quantity of item obtained after manufacturing / repacking from given quantities of raw materials,Số lượng sản phẩm thu được sau khi sản xuất hoặc đóng gói lại từ nguyên vật liệu đầu vào
Item to be manufactured or repacked,Mặt hàng sẽ được sản xuất hoặc đóng gói lại
Operation Time,TG định mức
Routing Name,Tên quy trình sản xuất
Name,Tên
Job Card,LSX Công đoạn
Operation Description,Mô tả công đoạn
Run parallel job cards in a workstation,Số lượng LSX công đoạn xử lý đồng thời
Edit Full Form,Mở mẫu tạo đầy đủ
Cache Cleared,Đã dọn dẹp bộ đệm
Maximum Value,Giá trị tối đa
